"ctry","year","colonial_power"
"AF",1462,"Not colonized"
"AF",1463,"Not colonized"
"AF",1464,"Not colonized"
"AF",1465,"Not colonized"
"AF",1466,"Not colonized"
"AF",1467,"Not colonized"
"AF",1468,"Not colonized"
"AF",1469,"Not colonized"
"AF",1470,"Not colonized"
"AF",1471,"Not colonized"
"AF",1472,"Not colonized"
"AF",1473,"Not colonized"
"AF",1474,"Not colonized"
"AF",1475,"Not colonized"
"AF",1476,"Not colonized"
"AF",1477,"Not colonized"
"AF",1478,"Not colonized"
"AF",1479,"Not colonized"
"AF",1480,"Not colonized"
"AF",1481,"Not colonized"
"AF",1482,"Not colonized"
"AF",1483,"Not colonized"
"AF",1484,"Not colonized"
"AF",1485,"Not colonized"
"AF",1486,"Not colonized"
"AF",1487,"Not colonized"
"AF",1488,"Not colonized"
"AF",1489,"Not colonized"
"AF",1490,"Not colonized"
"AF",1491,"Not colonized"
"AF",1492,"Not colonized"
"AF",1493,"Not colonized"
"AF",1494,"Not colonized"
"AF",1495,"Not colonized"
"AF",1496,"Not colonized"
"AF",1497,"Not colonized"
"AF",1498,"Not colonized"
"AF",1499,"Not colonized"
"AF",1500,"Not colonized"
"AF",1501,"Not colonized"
"AF",1502,"Not colonized"
"AF",1503,"Not colonized"
"AF",1504,"Not colonized"
"AF",1505,"Not colonized"
"AF",1506,"Not colonized"
"AF",1507,"Not colonized"
"AF",1508,"Not colonized"
"AF",1509,"Not colonized"
"AF",1510,"Not colonized"
"AF",1511,"Not colonized"
"AF",1512,"Not colonized"
"AF",1513,"Not colonized"
"AF",1514,"Not colonized"
"AF",1515,"Not colonized"
"AF",1516,"Not colonized"
"AF",1517,"Not colonized"
"AF",1518,"Not colonized"
"AF",1519,"Not colonized"
"AF",1520,"Not colonized"
"AF",1521,"Not colonized"
"AF",1522,"Not colonized"
"AF",1523,"Not colonized"
"AF",1524,"Not colonized"
"AF",1525,"Not colonized"
"AF",1526,"Not colonized"
"AF",1527,"Not colonized"
"AF",1528,"Not colonized"
"AF",1529,"Not colonized"
"AF",1530,"Not colonized"
"AF",1531,"Not colonized"
"AF",1532,"Not colonized"
"AF",1533,"Not colonized"
"AF",1534,"Not colonized"
"AF",1535,"Not colonized"
"AF",1536,"Not colonized"
"AF",1537,"Not colonized"
"AF",1538,"Not colonized"
"AF",1539,"Not colonized"
"AF",1540,"Not colonized"
"AF",1541,"Not colonized"
"AF",1542,"Not colonized"
"AF",1543,"Not colonized"
"AF",1544,"Not colonized"
"AF",1545,"Not colonized"
"AF",1546,"Not colonized"
"AF",1547,"Not colonized"
"AF",1548,"Not colonized"
"AF",1549,"Not colonized"
"AF",1550,"Not colonized"
"AF",1551,"Not colonized"
"AF",1552,"Not colonized"
"AF",1553,"Not colonized"
"AF",1554,"Not colonized"
"AF",1555,"Not colonized"
"AF",1556,"Not colonized"
"AF",1557,"Not colonized"
"AF",1558,"Not colonized"
"AF",1559,"Not colonized"
"AF",1560,"Not colonized"
"AF",1561,"Not colonized"
"AF",1562,"Not colonized"
"AF",1563,"Not colonized"
"AF",1564,"Not colonized"
"AF",1565,"Not colonized"
"AF",1566,"Not colonized"
"AF",1567,"Not colonized"
"AF",1568,"Not colonized"
"AF",1569,"Not colonized"
"AF",1570,"Not colonized"
"AF",1571,"Not colonized"
"AF",1572,"Not colonized"
"AF",1573,"Not colonized"
"AF",1574,"Not colonized"
"AF",1575,"Not colonized"
"AF",1576,"Not colonized"
"AF",1577,"Not colonized"
"AF",1578,"Not colonized"
"AF",1579,"Not colonized"
