"ctry","colonial_power","years_colonized","start_year","end_year"
"AE","GB",80,1892,1971
"AG","GB",350,1632,1981
"AO","PT",400,1576,1975
"AR","ES",240,1580,1819
"AU","GB",91,1829,1919
"BB","GB",340,1627,1966
"BD","GB",91,1857,1947
"BF","FR",66,1895,1960
"BH","GB",111,1861,1971
"BI","BE",40,1923,1962
"BI","DE",24,1899,1922
"BJ","FR",67,1894,1960
"BN","GB",97,1888,1984
"BO","ES",267,1559,1825
"BR","PT",290,1533,1822
"BS","GB",191,1783,1973
"BT","GB",40,1910,1949
"BW","GB",72,1895,1966
"BZ","ES",274,1524,1797
"BZ","GB",119,1863,1981
"CA","FR",155,1608,1762
"CA","GB",156,1764,1919
"CD","BE",76,1885,1960
"CF","FR",55,1906,1960
"CG","FR",79,1882,1960
"CI","FR",72,1889,1960
"CL","ES",278,1541,1818
"CM","DE",33,1884,1916
"CM","FR",39,1922,1960
"CO","ES",296,1525,1820
"CR","ES",298,1524,1821
"CU","ES",389,1511,1899
"CV","PT",514,1462,1975
"CY","GB",47,1914,1960
"DJ","FR",94,1884,1977
"DM","FR",132,1632,1763
"DM","GB",174,1805,1978
"DO","ES",371,1495,1865
"DZ","FR",115,1848,1962
"EC","ES",295,1535,1829
"EG","GB",54,1882,1935
"ER","GB",10,1942,1951
"ER","IT",51,1890,1940
"FJ","GB",97,1874,1970
"FM","ES",250,1650,1899
"GA","FR",75,1886,1960
"GD","FR",112,1650,1761
"GD","GB",212,1763,1974
"GH","GB",51,1874,1957
"GH","PT",342,1482,1823
"GM","GB",78,1888,1965
"GN","FR",78,1881,1958
"GQ","ES",111,1858,1968
"GQ","GB",31,1827,1857
"GQ","PT",1,1778,1778
"GT","ES",298,1524,1821
"GW","PT",96,1879,1974
"GY","GB",151,1816,1966
"GY","NL",234,1580,1813
"HN","ES",298,1524,1821
"HT","FR",140,1665,1804
"ID","NL",340,1623,1962
"IL","GB",26,1923,1948
"IN","GB",91,1857,1947
"IQ","GB",13,1920,1932
"JM","ES",146,1509,1654
"JM","GB",307,1656,1962
"JO","GB",24,1923,1946
"KE","GB",69,1895,1963
"KH","FR",70,1884,1953
"KI","GB",88,1892,1979
"KM","FR",62,1914,1975
"KN","GB",361,1623,1983
"KW","GB",48,1914,1961
"LA","FR",62,1893,1954
"LB","FR",24,1923,1946
"LC","FR",164,1650,1813
"LC","GB",165,1815,1979
"LK","GB",151,1798,1948
"LK","PT",38,1619,1656
"LS","GB",83,1884,1966
"LY","GB",7,1946,1952
"LY","IT",31,1912,1942
"MA","ES",47,1884,1975
"MG","FR",66,1895,1960
"MH","DE",30,1885,1914
"ML","FR",57,1904,1960
"MM","GB",63,1886,1948
"MR","FR",58,1903,1960
"MU","FR",95,1715,1809
"MU","GB",158,1811,1968
"MV","GB",79,1887,1965
"MW","GB",74,1891,1964
"MX","ES",301,1521,1821
"MY","GB",76,1888,1963
"MY","PT",131,1511,1641
"MZ","PT",91,1885,1975
"NA","DE",30,1885,1914
"NA","GB",5,1916,1920
"NE","FR",39,1922,1960
"NG","GB",62,1899,1960
"NI","ES",298,1524,1821
"NR","DE",26,1888,1913
"NR","GB",54,1915,1968
"NZ","GB",81,1840,1920
"PA","ES",303,1519,1821
"PE","ES",292,1533,1824
"PG","GB",37,1884,1920
"PH","ES",334,1565,1898
"PK","GB",91,1857,1947
"PW","DE",16,1885,1914
"PY","ES",275,1537,1811
"QA","GB",56,1916,1971
"RW","BE",41,1922,1962
"RW","DE",17,1899,1915
"SB","DE",8,1885,1892
"SB","GB",60,1919,1978
"SC","FR",39,1756,1794
"SC","GB",163,1814,1976
"SD","GB",59,1898,1956
"SG","GB",138,1826,1963
"SL","GB",66,1896,1961
"SN","FR",107,1854,1960
"SN","GB",125,1693,1817
"SO","GB",41,1888,1960
"SR","NL",308,1667,1974
"ST","PT",454,1522,1975
"SV","ES",294,1528,1821
"SY","FR",24,1923,1946
"SZ","GB",66,1903,1968
"TD","FR",51,1910,1960
"TG","DE",32,1885,1916
"TG","FR",39,1922,1960
"TL","PT",334,1642,1975
"TN","FR",76,1881,1956
"TO","GB",71,1900,1970
"TT","ES",205,1592,1796
"TT","GB",165,1798,1962
"TV","GB",88,1892,1979
"TZ","DE",27,1891,1917
"TZ","GB",46,1918,1963
"UG","GB",69,1894,1962
"US","GB",177,1607,1783
"UY","ES",61,1625,1828
"VC","GB",218,1762,1979
"VE","ES",266,1556,1821
"VN","FR",68,1887,1954
"VU","FR",19,1887,1905
"WS","DE",14,1900,1913
"WS","GB",6,1915,1920
"YE","GB",9,1959,1967
"ZA","GB",107,1814,1920
"ZA","NL",155,1652,1806
"ZM","GB",42,1923,1964
"ZW","GB",58,1923,1980
